  id req                time  stage num
      98             4.89349    stage 1
      95             5.23031    stage 2
      55             10.0465    stage 3
      99             6.84481    stage 1
      96               6.297    stage 2
      97             5.19156    stage 2
     100             6.49156    stage 1
      56             8.92895    stage 3
      98             5.42902    stage 2
     101             4.95353    stage 1
      57             9.97292    stage 3
      99             5.60872    stage 2
     102              5.6432    stage 1
     100             4.88616    stage 2
     103             5.57011    stage 1
      58             7.69677    stage 3
     104             4.27311    stage 1
     101             5.15279    stage 2
     105             6.86557    stage 1
      59             11.4725    stage 3
     102             7.12059    stage 2
     106             4.38713    stage 1
     103             7.22402    stage 2
     107             5.14717    stage 1
      60             10.4737    stage 3
     104             7.24345    stage 2
     108             8.02264    stage 1
     109             4.51781    stage 1
     105             7.65402    stage 2
      61             15.2277    stage 3
     106             6.23658    stage 2
     110             8.78542    stage 1
      62             11.7801    stage 3
     107             5.44602    stage 2
     111             5.52545    stage 1
     108              7.7274    stage 2
     112             8.53093    stage 1
      63              15.275    stage 3
     109             9.57095    stage 2
     113             10.1336    stage 1
     110             5.81529    stage 2
      64             11.1954    stage 3
     114             4.73951    stage 1
     111             4.53124    stage 2
     115             6.79829    stage 1
      65              9.2444    stage 3
     112             7.42004    stage 2
     116             5.24571    stage 1
     113             3.75385    stage 2
      66             8.52495    stage 3
     117             5.10726    stage 1
     114             4.43719    stage 2
     118             2.86079    stage 1
     115              3.4408    stage 2
     119             3.50635    stage 1
      67             9.28235    stage 3
     116             4.52318    stage 2
     120             4.65272    stage 1
     117             4.00387    stage 2
     121              4.3638    stage 1
      68             10.7423    stage 3
     118             6.36892    stage 2
     122             5.70877    stage 1
     119             6.31245    stage 2
      69             8.81997    stage 3
     123             5.35873    stage 1
     124             2.65787    stage 1
     120             5.23177    stage 2
     125             5.53884    stage 1
     121             5.18837    stage 2
      70             10.8686    stage 3
     126             3.60619    stage 1
     122             3.93398    stage 2
     123             3.41197    stage 2
     127             4.80561    stage 1
      71             9.50637    stage 3
     124             6.96565    stage 2
     128              6.7857    stage 1
      72             9.39057    stage 3
     129             4.70393    stage 1
     125             6.14907    stage 2
     130              5.4079    stage 1
     126             5.66245    stage 2
      73             9.45696    stage 3
     127             5.07559    stage 2
     131             6.00947    stage 1
     128             5.20963    stage 2
      74              8.7826    stage 3
     132             4.85821    stage 1
     129             4.92789    stage 2
     133             7.08616    stage 1
      75             9.05886    stage 3
     130             5.40243    stage 2
     134             5.68126    stage 1
     131             5.27234    stage 2
      76              9.5014    stage 3
     135             5.14672    stage 1
     132             6.64877    stage 2
     136             8.64183    stage 1
      77             11.0218    stage 3
     133             6.83049    stage 2
     137             5.30952    stage 1
     134             4.96477    stage 2
     138             4.57331    stage 1
      78             10.2836    stage 3
     135             6.41083    stage 2
     139             5.16243    stage 1
     136             4.17073    stage 2
     140             5.45437    stage 1
      79             12.0206    stage 3
     137             4.87089    stage 2
     141             5.26743    stage 1
     138              4.8824    stage 2
      80             9.68121    stage 3
     142             6.18331    stage 1
     139             6.53118    stage 2
     143             6.47149    stage 1
      81             10.8696    stage 3
     140             7.39274    stage 2
     144             6.64833    stage 1
     141               4.756    stage 2
      82             10.6508    stage 3
     145             7.07179    stage 1
     142             6.44725    stage 2
     146             4.69525    stage 1
     143              4.0571    stage 2
      83              10.999    stage 3
     144             4.10994    stage 2
     147             6.03202    stage 1
     148             6.23052    stage 1
     145             7.62005    stage 2
      84             10.3641    stage 3
     146             6.18496    stage 2
     149             7.39361    stage 1
     147             7.91772    stage 2
      85             13.7995    stage 3
     150             7.56287    stage 1
     148             4.14878    stage 2
     151             7.35181    stage 1
     149             5.53963    stage 2
      86             11.3263    stage 3
     152             5.88983    stage 1
     150             4.85889    stage 2
     153             3.40815    stage 1
      87             10.6291    stage 3
     151             7.69716    stage 2
     154             5.60503    stage 1
     152             5.84611    stage 2
     155             5.10897    stage 1
      88             10.8378    stage 3
     156             3.63671    stage 1
     153             5.12043    stage 2
     157             7.44526    stage 1
     154             7.02902    stage 2
      89             11.4476    stage 3
     155             3.90036    stage 2
     158             5.50083    stage 1
     156             5.39319    stage 2
     159             6.51595    stage 1
      90             10.2444    stage 3
     157             3.84212    stage 2
     160             4.72594    stage 1
     158             6.25727    stage 2
      91             11.1246    stage 3
     161             6.63482    stage 1
     159             5.22761    stage 2
     162             6.71677    stage 1
     160             5.89153    stage 2
      92             10.1497    stage 3
     163             3.95638    stage 1
     161             5.42615    stage 2
     164               7.293    stage 1
     162               5.956    stage 2
      93             11.5258    stage 3
     165             5.75856    stage 1
     163             6.21016    stage 2
     164             3.64831    stage 2
     166             6.73214    stage 1
      94             12.0439    stage 3
     165             4.93097    stage 2
     167             5.35425    stage 1
     166             5.73238    stage 2
      95             9.66388    stage 3
     168             5.03811    stage 1
     167             5.93546    stage 2
     169             5.60398    stage 1
     168             3.44676    stage 2
      96             9.72927    stage 3
     170             2.85542    stage 1
     169             2.59642    stage 2
     171             2.44191    stage 1
     170             3.73692    stage 2
      97             9.89081    stage 3
     172             6.75816    stage 1
     171             4.82357    stage 2
     173             4.51725    stage 1
     172             5.57018    stage 2
      98             9.85117    stage 3
     174             3.94566    stage 1
     173              4.5837    stage 2
     175             3.15366    stage 1
      99             8.46765    stage 3
     174             4.94628    stage 2
     176             4.44451    stage 1
     175             5.56164    stage 2
     177             5.45264    stage 1
     100             8.28932    stage 3
     176             5.63528    stage 2
     178             6.40878    stage 1
     177             5.24253    stage 2
     101             10.0306    stage 3
     179             4.24488    stage 1
     178              4.9398    stage 2
     180             4.76329    stage 1
     102             9.58608    stage 3
     179             7.28957    stage 2
     181             6.81554    stage 1
     180             5.99915    stage 2
     182             6.04023    stage 1
     103             12.9826    stage 3
     183             5.65895    stage 1
     181             6.46543    stage 2
     184              5.2922    stage 1
     182             5.68518    stage 2
     104             10.3254    stage 3
     185             5.68004    stage 1
     183             4.73955    stage 2
     186             5.68306    stage 1
     105             10.3063    stage 3
     184             6.06738    stage 2
     187             4.88055    stage 1
     185             4.73805    stage 2
     188             6.88295    stage 1
     106               12.72    stage 3
     186             6.25977    stage 2
     189             4.65151    stage 1
     187              5.2931    stage 2
     107             10.2204    stage 3
     190             6.81034    stage 1
     188             6.20768    stage 2
     191              6.9359    stage 1
     189             5.72461    stage 2
     108             10.2512    stage 3
     192             4.98538    stage 1
     190             6.38415    stage 2
     109             9.38742    stage 3
     193              6.4806    stage 1
     191              5.9009    stage 2
     192             4.43351    stage 2
     194              6.0001    stage 1
     110             8.08328    stage 3
     193             5.03965    stage 2
     195             5.90034    stage 1
     111             9.52125    stage 3
     194             6.62225    stage 2
     196             5.60117    stage 1
     197              5.2138    stage 1
     195             6.30392    stage 2
     112             9.36376    stage 3
     196             4.44123    stage 2
     198             6.79149    stage 1
     197             4.41123    stage 2
     113             8.54923    stage 3
     199             3.76524    stage 1
     198             4.53954    stage 2
     200             5.25685    stage 1
     199              5.7695    stage 2
     114             11.0547    stage 3
     201             5.71217    stage 1
     200             5.44977    stage 2
     202             6.22323    stage 1
     115             9.69444    stage 3
     201             4.57977    stage 2
     203             7.07768    stage 1
     202             7.97254    stage 2
     116             11.3798    stage 3
     204             6.18389    stage 1
     203             5.34945    stage 2
     205             6.06348    stage 1
     204              3.1437    stage 2
     117             8.75862    stage 3
     206             2.92665    stage 1
     205             3.56231    stage 2
     207              4.9302    stage 1
     206             4.79144    stage 2
     118             8.12067    stage 3
     207             3.73346    stage 2
     208             5.31047    stage 1
     119             8.10729    stage 3
     209             5.18928    stage 1
     208             5.23353    stage 2
     210             4.48726    stage 1
     209             5.92361    stage 2
     120             8.93886    stage 3
     211             5.98481    stage 1
     210             4.53108    stage 2
     212             3.40135    stage 1
     121             8.66156    stage 3
     211             5.39628    stage 2
     213             4.90999    stage 1
     212             6.27897    stage 2
     122             8.96508    stage 3
     214             6.17436    stage 1
     213             5.78925    stage 2
     215             5.60151    stage 1
     123             8.12681    stage 3
     214             3.92017    stage 2
     216             5.29648    stage 1
     215             5.73969    stage 2
     217             4.96776    stage 1
     124             9.60817    stage 3
     216             5.69758    stage 2
     218             4.31325    stage 1
     217             4.97853    stage 2
     125             9.72796    stage 3
     219             5.52724    stage 1
     218             4.81497    stage 2
     220             5.46892    stage 1
     126              7.9277    stage 3
     219              5.1634    stage 2
     221              4.3147    stage 1
     220             5.83781    stage 2
     127             7.99533    stage 3
     222             5.55361    stage 1
     221             4.67975    stage 2
